modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
WM812T1SU0BG,1200.0,FREE_STANDING,"[2022, 4, 15]",1200.0,8.0,B,49.0,22.0,53.0,24.0,85.0,1200.0,80.0,C,0.5,https://daewooelectronics.com/,168.0,168.0,0.727,77.0,48.0,D,218.0,60.0,DAEWOO,73.0,36.0,4.0,5.0
WM712T1WU0BA,1120.0,FREE_STANDING,"[2022, 4, 15]",1120.0,7.0,B,50.0,23.0,50.0,24.0,85.0,1120.0,80.0,C,0.5,https://daewooelectronics.com/,160.0,160.0,0.6900000000000001,78.0,45.0,D,208.0,60.0,DAEWOO,69.0,27.0,4.0,5.0
WGG244010,1351.0,FREE_STANDING,"[2022, 4, 14]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WAFS 91460 7158145100,1400.0,FREE_STANDING,"[2022, 4, 14]",1400.0,9.0,B,31.0,23.0,64.0,24.0,84.0,1400.0,51.5,A,0.5,http://support.elektrabregenz.com,173.0,173.0,0.49,72.0,37.0,A,228.0,60.0,ELEKTRABREGENZ,49.0,25.0,4.0,4.9
WGG24403FG,1351.0,FREE_STANDING,"[2022, 4, 14]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
W2086C.W/3,1600.0,FREE_STANDING,"[2022, 4, 14]",1600.0,8.0,A,42.0,19.0,59.0,24.0,85.0,1600.0,51.8,B,0.3,https://www.asko.com,150.0,150.0,0.471,76.0,48.0,A,199.0,60.0,ASKO,47.0,19.0,3.4,4.1
WG44G207NL,1351.0,FREE_STANDING,"[2022, 4, 14]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
W2084.W/3,1400.0,FREE_STANDING,"[2022, 4, 14]",1400.0,8.0,B,42.0,19.0,59.0,24.0,85.0,1400.0,51.8,A,0.3,https://www.asko.com,150.0,150.0,0.471,72.0,48.0,A,199.0,60.0,ASKO,47.0,19.0,3.4,4.1
WUP1401G9,1351.0,FREE_STANDING,"[2022, 4, 14]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.pitsos.gr/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Pitsos,46.0,27.0,1.1,5.0
WGG24406FG,1351.0,FREE_STANDING,"[2022, 4, 14]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
W2096P.W/3,1600.0,FREE_STANDING,"[2022, 4, 14]",1600.0,9.0,A,38.0,20.0,59.0,24.0,85.0,1600.0,51.8,B,0.3,https://www.asko.com,171.0,171.0,0.493,76.0,49.0,A,210.0,60.0,ASKO,49.0,20.0,3.4,4.3
WNFHEI74SADPS,1400.0,FREE_STANDING,"[2022, 4, 14]",1400.0,7.0,B,38.0,23.0,47.0,24.0,85.0,1400.0,51.6,B,0.3,https://www.gorenjegroup.com,153.0,151.0,0.445,76.0,44.0,A,207.0,60.0,GORENJE,44.0,23.0,1.24,4.2
W20964R.W,1600.0,FREE_STANDING,"[2022, 4, 14]",1600.0,9.0,A,38.0,20.0,59.0,24.0,85.0,1600.0,51.8,B,0.3,https://www.asko.com,171.0,171.0,0.493,76.0,49.0,A,210.0,60.0,ASKO,49.0,20.0,3.4,4.3
NSWR 945C GK UK N,1351.0,FREE_STANDING,"[2022, 4, 13]",1351.0,9.0,B,33.0,28.0,61.0,24.0,85.0,1351.0,59.7,B,0.5,https://docs.whirlpool.eu/,170.0,160.0,0.5680000000000001,76.0,50.0,B,220.0,60.0,HOTPOINT,57.0,35.0,4.0,4.5
NSWR 845C BS UK N,1351.0,FREE_STANDING,"[2022, 4, 13]",1351.0,8.0,B,35.0,26.0,61.0,24.0,85.0,1351.0,59.5,B,0.5,https://docs.whirlpool.eu/,165.0,160.0,0.541,76.0,48.0,B,215.0,60.0,HOTPOINT,54.0,34.0,4.0,4.5
NSWF 945C GG UK N,1351.0,FREE_STANDING,"[2022, 4, 13]",1351.0,9.0,B,33.0,28.0,61.0,24.0,85.0,1351.0,59.7,B,0.5,https://docs.whirlpool.eu/,170.0,160.0,0.5680000000000001,76.0,50.0,B,220.0,60.0,HOTPOINT,57.0,35.0,4.0,4.5
CSO1493TWCBE-80,1351.0,FREE_STANDING,"[2022, 4, 13]",1351.0,9.0,B,37.0,25.0,53.0,12.0,85.0,1351.0,69.0,C,0.5,https://corporate.haier-europe.com/en/,174.0,174.0,0.656,79.0,46.0,C,228.0,60.0,Candy,66.0,32.0,4.0,4.9
FA124V9BAP2,1360.0,FREE_STANDING,"[2022, 4, 12]",1360.0,12.0,A,35.0,26.0,62.0,24.0,85.0,1360.0,52.0,A,0.5,https://www.lg.com/global/ajax/common_manual,180.0,150.0,0.544,70.0,57.0,A,240.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
WFQP8014EVM,1400.0,FREE_STANDING,"[2022, 4, 12]",1400.0,8.0,B,36.0,26.0,54.0,24.0,85.0,1400.0,52.0,A,0.49,https://global.hisense.com/laundry,168.0,168.0,0.473,72.0,42.0,A,206.0,60.0,HISENSE,47.0,29.0,3.7,4.5
TOZ 262DE/1-S,1151.0,FREE_STANDING,"[2022, 4, 12]",1151.0,6.0,B,39.0,27.0,60.0,24.0,86.0,1151.0,80.0,C,0.5,https://corporate.haier-europe.com/en/,156.0,156.0,0.648,79.0,41.0,D,198.0,41.0,Zerowatt,65.0,36.0,4.0,4.9
WU12UT61ES,1151.0,FREE_STANDING,"[2022, 4, 11]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
3TS995XT,1351.0,FREE_STANDING,"[2022, 4, 11]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.etiqueta-balay.com,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Balay,46.0,27.0,1.1,5.0
3TS993BT,1151.0,FREE_STANDING,"[2022, 4, 11]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.etiqueta-balay.com,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Balay,46.0,27.0,1.1,5.0
3TS993XT,1151.0,FREE_STANDING,"[2022, 4, 11]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.etiqueta-balay.com,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Balay,46.0,27.0,1.1,5.0
3TS995BT,1351.0,FREE_STANDING,"[2022, 4, 11]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.etiqueta-balay.com,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Balay,46.0,27.0,1.1,5.0
EW6F5349K1 914916532,1351.0,FREE_STANDING,"[2022, 4, 11]",1351.0,9.0,B,33.0,26.0,66.0,24.0,85.0,1351.0,68.8,C,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914916532,165.0,155.0,0.654,78.0,50.0,C,220.0,60.0,Electrolux,65.0,27.0,4.0,4.9
NM11 1065 WC A UK N,1551.0,FREE_STANDING,"[2022, 4, 10]",1551.0,10.0,A,30.0,22.0,61.0,24.0,85.0,1551.0,59.7,C,0.5,https://docs.whirlpool.eu/,180.0,150.0,0.59,79.0,52.0,B,239.0,60.0,HOTPOINT,59.0,28.0,4.0,4.0
BWEW81285XWFR N,1151.0,FREE_STANDING,"[2022, 4, 10]",1151.0,8.0,B,35.0,26.0,63.0,24.0,85.0,1151.0,59.4,C,0.5,https://docs.whirlpool.eu/,165.0,160.0,0.54,79.0,48.0,B,215.0,60.0,INDESIT,54.0,34.0,4.0,4.5
WG44G2ACDN,1351.0,FREE_STANDING,"[2022, 4, 8]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WGG144090,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WU14UTS9,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WGG24407EX,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WGG24409BY,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WGG244A9BY,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WG44G206FG,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WGG2440XGB,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WNEI8P4ADS,1400.0,FREE_STANDING,"[2022, 4, 7]",1400.0,8.0,B,37.0,20.0,55.0,24.0,85.0,1400.0,51.9,B,0.3,https://www.gorenjegroup.com,165.0,165.0,0.472,76.0,48.0,A,212.0,60.0,GORENJE,47.0,20.0,1.24,3.7
WG44G1090,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WGG24409GB,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,9.0,B,38.0,23.0,64.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
NM11 846 WS A EU N,1351.0,FREE_STANDING,"[2022, 4, 7]",1351.0,8.0,B,33.0,21.0,61.0,24.0,85.0,1351.0,52.0,B,0.5,https://docs.whirlpool.eu/,168.0,160.0,0.472,76.0,48.0,A,218.0,60.0,HOTPOINT/ARISTON,47.0,28.0,4.0,5.0
WNHPI60SCS/PL,1000.0,FREE_STANDING,"[2022, 4, 7]",1000.0,6.0,C,40.0,25.0,46.0,24.0,85.0,1000.0,68.6,B,0.49,https://global.hisense.com/laundry,156.0,156.0,0.553,74.0,37.0,C,198.0,60.0,GORENJE,55.0,32.0,3.6,4.2
F2WP307N0WS,1170.0,FREE_STANDING,"[2022, 4, 7]",1170.0,7.0,B,50.0,25.0,48.0,24.0,85.0,1170.0,79.9,A,0.5,https://www.lg.com/global/ajax/common_manual,162.0,157.0,0.6890000000000001,71.0,45.0,D,208.0,60.0,LG Electronics,69.0,41.0,4.0,5.0
MWUE7512XSW 7000440033,1000.0,FREE_STANDING,"[2022, 4, 7]",1000.0,7.0,C,42.0,26.0,49.0,24.0,84.0,1000.0,90.5,A,0.5,http://support.beko.com,161.0,161.0,0.78,72.0,45.0,E,207.0,60.0,Beko,78.0,41.0,4.0,4.9
FV34VNS0A,1360.0,FREE_STANDING,"[2022, 4, 6]",1360.0,9.0,A,35.0,27.0,57.0,24.0,85.0,1360.0,51.9,A,0.5,https://www.lg.com/global/ajax/common_manual,165.0,145.0,0.494,71.0,50.0,A,228.0,60.0,LG Electronics,50.0,29.0,4.0,5.0
WUE7626XBWS 7000640066,1200.0,FREE_STANDING,"[2022, 4, 6]",1200.0,7.0,B,35.0,24.0,49.0,24.0,84.0,1200.0,51.5,B,0.5,http://support.beko.com,161.0,161.0,0.444,74.0,36.0,A,207.0,60.0,Beko,44.0,28.0,4.0,4.9
PWF X 873 N,1351.0,FREE_STANDING,"[2022, 4, 6]",1351.0,8.0,B,35.0,26.0,63.0,24.0,85.0,1351.0,59.5,C,0.5,https://docs.whirlpool.eu/,165.0,160.0,0.541,78.0,48.0,B,215.0,60.0,PRIVILEG,54.0,34.0,4.0,4.5
WNHPI62SCS,1200.0,FREE_STANDING,"[2022, 4, 6]",1200.0,6.0,B,44.0,26.0,47.0,24.0,85.0,1200.0,68.9,B,0.49,www.gorenje.com,156.0,156.0,0.558,74.0,37.0,C,198.0,60.0,GORENJE_GOR,56.0,33.0,3.6,4.2
PI612CS,1200.0,FREE_STANDING,"[2022, 4, 6]",1200.0,6.0,B,44.0,26.0,47.0,24.0,85.0,1200.0,68.9,B,0.49,www.gorenje.com,156.0,156.0,0.558,74.0,37.0,C,198.0,60.0,UPO,56.0,33.0,3.6,4.2
WUE7511XSS 7000540008,1000.0,FREE_STANDING,"[2022, 4, 6]",1000.0,7.0,C,42.0,26.0,49.0,24.0,84.0,1000.0,90.5,A,0.5,http://support.beko.com,161.0,161.0,0.78,72.0,45.0,E,207.0,60.0,Beko,78.0,41.0,4.0,4.9
FV34JNS0A,1360.0,FREE_STANDING,"[2022, 4, 5]",1360.0,10.5,A,36.0,26.0,57.0,24.0,85.0,1360.0,51.9,A,0.5, https://www.lg.com/global/ajax/common_manual,180.0,145.0,0.522,71.0,53.0,A,240.0,60.0,LG Electronics,53.0,31.0,4.0,5.0
FV34TN00E,1360.0,FREE_STANDING,"[2022, 4, 5]",1360.0,8.0,B,39.0,23.0,57.0,24.0,85.0,1360.0,59.7,B,0.5,https://www.lg.com/global/ajax/common_manual,168.0,150.0,0.543,73.0,48.0,B,218.0,60.0,LG Electronics,55.0,32.0,4.0,5.0
BWE101685XWKFR N,1551.0,FREE_STANDING,"[2022, 4, 5]",1551.0,10.0,A,30.0,22.0,61.0,24.0,85.0,1551.0,59.7,C,0.5,https://docs.whirlpool.eu/,180.0,150.0,0.59,79.0,52.0,B,239.0,60.0,INDESIT,59.0,28.0,4.0,4.0
WNHPI72SCS,1200.0,FREE_STANDING,"[2022, 4, 5]",1200.0,7.0,B,46.0,27.0,47.0,24.0,85.0,1200.0,68.0,B,0.49,www.gorenje.com,160.0,160.0,0.59,74.0,42.0,C,208.0,60.0,GORENJE_GOR,59.0,34.0,3.6,4.2
WNHPI72SCPS/DE,1200.0,FREE_STANDING,"[2022, 4, 5]",1200.0,7.0,B,46.0,27.0,47.0,24.0,85.0,1200.0,68.0,B,0.49,www.gorenje.com,160.0,160.0,0.59,74.0,42.0,C,208.0,60.0,GORENJE_GOR,59.0,34.0,3.6,4.2
WNHPI62SCPS/DE,1200.0,FREE_STANDING,"[2022, 4, 5]",1200.0,6.0,B,44.0,26.0,47.0,24.0,85.0,1200.0,68.9,B,0.49,www.gorenje.com,156.0,156.0,0.558,74.0,37.0,C,198.0,60.0,GORENJE_GOR,56.0,33.0,3.6,4.2
WN11EI84ADPS,1400.0,FREE_STANDING,"[2022, 4, 4]",1400.0,8.0,B,37.0,20.0,55.0,24.0,85.0,1400.0,51.9,B,0.3,https://www.gorenjegroup.com,165.0,165.0,0.472,76.0,48.0,A,212.0,60.0,GORENJE,47.0,20.0,1.24,3.7
WUU24T63ES,1151.0,FREE_STANDING,"[2022, 4, 4]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WU14UT6XES,1351.0,FREE_STANDING,"[2022, 4, 4]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WUU24T62ES,1151.0,FREE_STANDING,"[2022, 4, 4]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
ES-NFH814CWA-EE,1330.0,FREE_STANDING,"[2022, 4, 4]",1330.0,8.0,B,37.0,26.0,56.0,24.0,85.0,1330.0,52.0,B,0.5,http://www.sharphomeappliances.com,165.0,130.0,0.473,75.0,32.0,A,218.0,60.0,SHARP,47.0,27.0,4.0,5.0
WM Pure 9A,1351.0,FREE_STANDING,"[2022, 4, 4]",1351.0,9.0,B,32.0,25.0,61.0,24.0,85.0,1351.0,51.8,B,0.5,https://docs.whirlpool.eu/,170.0,130.0,0.493,76.0,50.0,A,225.0,60.0,BAUKNECHT,49.0,29.0,4.0,4.9
WU12UT6XES,1151.0,FREE_STANDING,"[2022, 4, 4]",1151.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1151.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
EW6FA494 914916531,1351.0,FREE_STANDING,"[2022, 4, 4]",1351.0,9.0,B,33.0,26.0,66.0,24.0,85.0,1351.0,51.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914916531,165.0,155.0,0.493,76.0,50.0,A,220.0,60.0,Electrolux,49.0,27.0,4.0,4.9
ES-NFW612CWB-DE,1200.0,FREE_STANDING,"[2022, 4, 4]",1200.0,6.0,B,41.0,22.0,42.0,24.0,85.0,1200.0,60.0,B,0.5,http://www.sharphomeappliances.com,156.0,156.0,0.486,75.0,43.0,B,198.0,60.0,SHARP,49.0,26.0,4.0,5.0
EELF814-1b -8009734,1351.0,BUILT_IN,"[2022, 4, 4]",1351.0,8.0,B,33.0,33.0,55.0,36.0,82.0,1351.0,69.0,A,0.5,https://www.boulanger.com/info/assistance,165.0,130.0,0.625,70.0,48.0,C,210.0,60.0,ESSENTIELB,63.0,36.0,4.0,3.0
WUE 8722 XD 7001440075,1400.0,FREE_STANDING,"[2022, 4, 4]",1400.0,8.0,B,41.0,25.0,55.0,24.0,84.0,1400.0,68.5,B,0.5,http://support.beko.com,167.0,167.0,0.623,73.0,47.0,C,218.0,60.0,Beko,62.0,34.0,4.0,4.9
EW6FN448W 914917522,1351.0,FREE_STANDING,"[2022, 4, 4]",1351.0,8.0,B,41.0,22.0,58.0,24.0,85.0,1351.0,68.8,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914917522,160.0,155.0,0.625,76.0,43.0,C,205.0,60.0,Electrolux,63.0,34.0,4.0,4.9
EELF914-1b 8009732,1351.0,BUILT_IN,"[2022, 4, 4]",1351.0,9.0,B,38.0,34.0,55.0,36.0,82.0,1351.0,68.3,A,0.5,https://www.boulanger.com/info/assistance,170.0,130.0,0.645,70.0,50.0,C,220.0,60.0,ESSENTIELB,65.0,37.0,4.0,3.0
Geratek Hope WM7240P,1330.0,FREE_STANDING,"[2022, 4, 4]",1330.0,7.0,B,50.0,23.0,50.0,24.0,85.0,1330.0,80.0,C,0.5,http://www.vestel-germany.de,160.0,160.0,0.6900000000000001,79.0,45.0,D,208.0,60.0,GERATEK,69.0,27.0,4.0,5.0
WU14UTEM22,1351.0,FREE_STANDING,"[2022, 4, 1]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,70.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
WUU28T62ES,1351.0,FREE_STANDING,"[2022, 4, 1]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WAU28P91TR,1351.0,FREE_STANDING,"[2022, 4, 1]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.bosch-home.com/energylabel,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Bosch,46.0,27.0,1.1,5.0
WM14UP91TR,1351.0,FREE_STANDING,"[2022, 4, 1]",1351.0,9.0,B,38.0,23.0,63.0,24.0,85.0,1351.0,48.8,A,0.15,https://www.siemens-home.com/e-label,174.0,142.0,0.464,71.0,48.0,A,228.0,60.0,Siemens,46.0,27.0,1.1,5.0
HWM-VT2914INVB+++,1330.0,FREE_STANDING,"[2022, 4, 1]",1330.0,9.0,B,41.0,26.0,58.0,24.0,85.0,1330.0,60.0,C,0.5,http://www.heinner.ro,174.0,174.0,0.5700000000000001,77.0,50.0,B,228.0,60.0,HEINNER,57.0,26.0,4.0,5.0
VM127T2INV,1200.0,FREE_STANDING,"[2022, 4, 1]",1200.0,7.0,B,44.0,23.0,50.0,60.0,85.0,1200.0,60.0,B,0.5,http://www.koncar-ka.hr,162.0,162.0,0.517,75.0,45.0,B,208.0,60.0,Končar,52.0,29.0,4.0,5.0
600082847,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
HWM-VT2714INVB+++,1330.0,FREE_STANDING,"[2022, 4, 1]",1330.0,7.0,B,44.0,23.0,50.0,24.0,85.0,1330.0,60.0,B,0.5,http://www.heinner.ro,162.0,162.0,0.517,76.0,45.0,B,208.0,60.0,HEINNER,52.0,29.0,4.0,5.0
HWM-VT2814INVB+++,1330.0,FREE_STANDING,"[2022, 4, 1]",1330.0,8.0,B,43.0,24.0,53.0,24.0,85.0,1330.0,60.0,B,0.5,http://www.heinner.ro,168.0,168.0,0.545,76.0,48.0,B,218.0,60.0,HEINNER,55.0,29.0,4.0,5.0
WF81490MS,1350.0,FREE_STANDING,"[2022, 4, 1]",1350.0,8.0,B,39.0,22.0,570.0,24.0,850.0,1350.0,60.0,B,0.5,office@tesla.info,168.0,168.0,0.545,76.0,48.0,B,218.0,600.0,Tesla,54.0,32.0,4.0,5.0
LFVQ184S -01,1400.0,FREE_STANDING,"[2022, 4, 1]",1400.0,8.0,B,34.0,21.0,57.0,0.0,85.0,1400.0,60.0,B,0.5,http://www.vedette.fr,168.0,168.0,0.545,76.0,46.0,B,218.0,60.0,VEDETTE,55.0,29.0,4.0,5.0
600082842,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,9.0,B,37.0,22.0,57.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,174.0,174.0,0.5710000000000001,76.0,50.0,B,228.0,60.0,Qilive,57.0,34.0,4.0,5.0
600082844,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
600082846,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
600082848,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
600082837,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,9.0,B,37.0,22.0,57.0,36.0,85.0,1300.0,60.0,B,0.5, https://support.auchan.com,174.0,174.0,0.5710000000000001,76.0,50.0,B,228.0,60.0,Qilive,57.0,34.0,4.0,5.0
600082841,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,9.0,B,37.0,22.0,57.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,174.0,174.0,0.5710000000000001,76.0,50.0,B,228.0,60.0,Qilive,57.0,34.0,4.0,5.0
600082843,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
WF91490M,1350.0,FREE_STANDING,"[2022, 4, 1]",1350.0,9.0,B,38.0,22.0,570.0,24.0,850.0,1350.0,59.9,B,0.5,office@tesla.info,174.0,174.0,0.5700000000000001,76.0,50.0,B,228.0,600.0,Tesla,57.0,37.0,4.0,5.0
600082839,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,9.0,B,37.0,22.0,57.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,174.0,174.0,0.5710000000000001,76.0,50.0,B,228.0,60.0,Qilive,57.0,34.0,4.0,5.0
600082840,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,9.0,B,37.0,22.0,57.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,174.0,174.0,0.5710000000000001,76.0,50.0,B,228.0,60.0,Qilive,57.0,34.0,4.0,5.0
600082845,1300.0,FREE_STANDING,"[2022, 4, 1]",1300.0,10.0,B,40.0,22.0,53.0,36.0,85.0,1300.0,60.0,B,0.5,https://support.auchan.com,180.0,180.0,0.593,76.0,52.0,B,239.0,60.0,Qilive,59.0,38.0,4.0,5.0
TML1044W,1000.0,FREE_STANDING,"[2022, 4, 1]",1000.0,6.0,C,44.0,26.0,50.0,24.0,85.0,1000.0,80.0,B,0.5,http://vestel-france.fr/fr/,154.0,152.0,0.648,76.0,43.0,D,193.0,60.0,TECHNICAL,65.0,36.0,4.0,5.0
